date,cl
2019-12-31,1.3
2020-01-01,8.9
2020-01-02,7.9
2020-01-03,0
2020-01-04,2.1
2020-01-05,3.9
2020-01-06,9.8
2020-01-07,10
2020-01-08,9.6
2020-01-09,1.6
2020-01-10,3.1
2020-01-11,3.6
2020-01-12,3.6
2020-01-13,1.4
2020-01-14,1
2020-01-15,0.1
2020-01-16,5
2020-01-17,4.8
2020-01-18,2.1
2020-01-19,4.8
2020-01-20,2.3
2020-01-21,2.9
2020-01-22,7.8
2020-01-23,3.4
2020-01-24,3
2020-01-25,7.4
2020-01-26,5.8
2020-01-27,9.5
2020-01-28,7.3
2020-01-29,6.6
2020-01-30,4
2020-01-31,4.8
2020-02-01,3.4
2020-02-02,6.1
2020-02-03,1.5
2020-02-04,3.9
2020-02-05,0
2020-02-06,0.9
2020-02-07,8.9
2020-02-08,2.5
2020-02-09,2.8
2020-02-10,1.1
2020-02-11,2.3
2020-02-12,9.9
2020-02-13,9.1
2020-02-14,2.1
2020-02-15,5.8
2020-02-16,8.9
2020-02-17,6.5
2020-02-18,0
2020-02-19,6
2020-02-20,2.5
2020-02-21,9.3
2020-02-22,5.9
2020-02-23,0.9
2020-02-24,7
2020-02-25,7.5
2020-02-26,5.3
2020-02-27,2.6
2020-02-28,9.8
2020-02-29,3
2020-03-01,8.1
2020-03-02,1.6
2020-03-03,6.5
2020-03-04,5.1
2020-03-05,0
2020-03-06,2.5
2020-03-07,5.4
2020-03-08,0.3
2020-03-09,6.5
2020-03-10,7.5
2020-03-11,0
2020-03-12,4
2020-03-13,6.6
2020-03-14,2.1
2020-03-15,3.1
2020-03-16,1
2020-03-17,4.8
2020-03-18,0
2020-03-19,3.4
2020-03-20,0.4
2020-03-21,6.9
2020-03-22,0.1
2020-03-23,0
2020-03-24,0
2020-03-25,4
2020-03-26,6.9
2020-03-27,5.1
2020-03-28,5.1
2020-03-29,1.5
2020-03-30,0.9
2020-03-31,5.5
2020-04-01,3.5
2020-04-02,2.6
2020-04-03,1.3
2020-04-04,0.8
2020-04-05,0
2020-04-06,3.5
2020-04-07,2.1
2020-04-08,0
2020-04-09,1.3
2020-04-10,4.8
2020-04-11,4.8
2020-04-12,3.1
2020-04-13,1.9
2020-04-14,1.3
2020-04-15,5.4
2020-04-16,2.9
2020-04-17,9.1
2020-04-18,2.6
2020-04-19,9.5
2020-04-20,7.4
2020-04-21,3.6
2020-04-22,4.1
2020-04-23,1.6
2020-04-24,1.8
2020-04-25,3.3
2020-04-26,0.8
2020-04-27,3.4
2020-04-28,0
2020-04-29,0.4
2020-04-30,5.3
2020-05-01,6.6
2020-05-02,9
2020-05-03,7
2020-05-04,3.4
